epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71773,3.00538,22.7167,1.25415,0,0,0,0,2.41143,9.6935,0.95391,2e-05,2e-05,2e-05
2,7.7954,3.22359,17.0843,1.05361,0,0,0,0,2.44737,9.71953,0.95638,5.703e-05,5.703e-05,5.703e-05
3,21.5475,2.59523,15.5917,1.02572,0,0,0,0,2.464,9.56687,0.95311,9.01e-05,9.01e-05,9.01e-05
4,28.6895,2.64804,24.8291,1.05005,0,0,0,0,2.51455,9.60594,0.95604,0.00011921,0.00011921,0.00011921
5,32.123,3.35661,15.1579,1.11456,0,0,0,0,2.50876,9.62169,0.95691,0.00014436,0.00014436,0.00014436
6,33.3419,3.16979,17.9562,1.08856,0.00037,0.1,0.00021,0.00012,2.56428,25.4945,1.00978,0.00016555,0.00016555,0.00016555
7,57.2447,3.00303,10.2163,0.96017,0.00298,0.6,0.00589,0.00216,2.56646,12.2268,0.96439,0.00018278,0.00018278,0.00018278
8,67.6584,2.22414,8.49813,0.85918,0.00148,0.4,0.01117,0.00382,2.02117,8.09708,0.89071,0.00019605,0.00019605,0.00019605
9,74.477,2.3284,4.17876,0.92565,0.32975,0.54266,0.29743,0.12832,1.8125,6.44285,0.87621,0.00020536,0.00020536,0.00020536
10,76.0415,2.30327,3.59685,0.88753,0.79916,0.79621,0.90712,0.41497,1.84852,4.97203,0.86971,0.00021071,0.00021071,0.00021071
11,150.138,2.01533,4.57613,0.86895,1,0.78882,0.91056,0.4382,1.8562,2.86263,0.87166,0.0002121,0.0002121,0.0002121
12,158.38,2.07679,3.59045,0.91736,0.95713,0.8,0.82833,0.39024,1.93876,1.78876,0.87814,0.00020953,0.00020953,0.00020953
13,191.008,1.95608,3.00865,0.836,0.95708,0.8,0.8137,0.37075,1.98255,1.93257,0.87951,0.000203,0.000203,0.000203
14,240.435,1.80112,2.65769,0.90064,0.96903,0.7,0.8375,0.43512,1.88358,2.50548,0.86918,0.00019251,0.00019251,0.00019251
15,245.811,1.82339,2.58519,0.85824,0.95865,0.7,0.78258,0.38679,1.86493,3.32973,0.8699,0.00017806,0.00017806,0.00017806
16,255.853,2.066,2.48854,0.83969,0.75657,0.62367,0.70841,0.38751,1.87717,3.76582,0.87222,0.00015965,0.00015965,0.00015965
17,312.376,1.82219,2.14858,0.85572,0.68837,0.6651,0.72326,0.37511,1.93545,3.43471,0.87063,0.00013728,0.00013728,0.00013728
18,333.23,1.75377,1.83863,0.87662,0.87699,0.9,0.91204,0.45232,1.86235,2.89319,0.86278,0.00011095,0.00011095,0.00011095
19,346.881,1.57625,1.91167,0.82406,1,0.89815,0.96167,0.48296,1.78796,2.90317,0.85984,8.066e-05,8.066e-05,8.066e-05
20,354.522,1.33455,1.59785,0.85654,0.90747,0.98213,0.98591,0.52659,1.64891,2.56811,0.85517,4.641e-05,4.641e-05,4.641e-05
