epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.41798,3.22291,15.6783,1.09319,0,0,0,0,2.76263,9.01829,0.98867,0.00016,0.00016,0.00016
2,7.87547,2.57788,8.10845,0.91479,0.01884,0.38806,0.01097,0.00476,2.00593,257.371,0.8693,0.00032317,0.00032317,0.00032317
3,11.6861,2.34298,2.71859,0.85058,0.27686,0.0597,0.04826,0.02052,1.92624,7.78764,0.84918,0.00046852,0.00046852,0.00046852
4,15.5061,2.22675,1.72463,0.84749,0.00342,0.02985,0.00037,0.00019,2.71582,590.175,0.88529,0.00059605,0.00059605,0.00059605
5,19.183,2.17175,1.27265,0.8404,0.00148,0.16418,0.00063,0.00025,2.59567,inf,0.8912,0.00070576,0.00070576,0.00070576
6,22.8264,2.08157,1.0665,0.82607,8e-05,0.01493,4e-05,1e-05,1.70549,inf,0.44415,0.00079765,0.00079765,0.00079765
7,26.4781,2.14012,0.99284,0.83844,0.24519,0.07463,0.05433,0.02549,2.71353,15.5751,0.95196,0.00087172,0.00087172,0.00087172
8,30.2289,1.98507,0.95401,0.81923,1,0.75696,0.9247,0.4314,1.8703,1.35861,0.82211,0.00092797,0.00092797,0.00092797
9,33.966,1.98438,0.93396,0.81589,0.96038,0.91045,0.94188,0.36974,2.16235,0.96302,0.84317,0.0009664,0.0009664,0.0009664
10,37.561,1.94663,0.83609,0.81768,0.92813,0.96375,0.97696,0.38723,2.0488,0.84677,0.8641,0.00098701,0.00098701,0.00098701
11,58.0792,1.83021,0.85641,0.83529,0.88881,0.83519,0.87387,0.34347,2.21507,1.45059,0.8532,0.0009898,0.0009898,0.0009898
12,61.7441,1.97056,0.83797,0.83863,0.95216,0.95522,0.96127,0.36415,2.01674,2.88758,0.83283,0.000911,0.000911,0.000911
13,65.3612,1.84742,0.88151,0.84081,0.89618,0.9019,0.96029,0.43941,1.70064,2.06162,0.83129,0.000812,0.000812,0.000812
14,69.0868,1.69777,0.77868,0.83912,0.95223,0.97015,0.98443,0.43322,1.76432,0.76157,0.82052,0.000713,0.000713,0.000713
15,72.7857,1.66098,0.68353,0.79665,0.90409,0.84423,0.86066,0.30635,2.09359,4.63339,0.83002,0.000614,0.000614,0.000614
16,76.4549,1.70465,0.65696,0.83137,0.93876,0.91524,0.96077,0.46611,1.67326,1.88721,0.81886,0.000515,0.000515,0.000515
17,80.1352,1.49496,0.62346,0.82456,0.91535,0.96836,0.97691,0.54241,1.49103,0.68408,0.81068,0.000416,0.000416,0.000416
18,83.7954,1.48109,0.64649,0.8048,0.95479,0.9456,0.98164,0.54644,1.48469,0.59039,0.80854,0.000317,0.000317,0.000317
19,87.4666,1.4053,0.59886,0.79321,0.97014,0.96991,0.98547,0.56582,1.44958,0.571,0.80654,0.000218,0.000218,0.000218
20,91.1965,1.43865,0.58282,0.80018,0.97054,0.98356,0.98692,0.58133,1.4118,0.53114,0.80754,0.000119,0.000119,0.000119
